,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Disque 100 - Ano 2015 - Violações de Violência Física, por UF",,,,,,,,"Disque 100 - Ano 2016 - Violações de Violência Física, por UF",,,,,,,,,,"Disque 100 - Ano 2017 - Violações de Violência Física, por UF",,,,,,,,,,,"Disque 100 - Ano 2018 - Violações de Violência Física, por UF",,,,,,,,,,,,"Disque 100 - Ano 2019 - Violações de Violência Física, por UF",,,,,,,,,,,
,UF,LESÃO CORPORAL,MAUS TRATOS,TENTATIVA DE HOMICÍDIO,HOMICÍDIO,TOTAL,%,,UF,CÁRCERE PRIVADO,HOMICÍDIO,LESÃO CORPORAL,MAUS TRATOS,OUTROS,TENTATIVA DE HOMICÍDIO,TOTAL,%,,UF,CÁRCERE PRIVADO,GENOCÍDIO,HOMICÍDIO,LESÃO CORPORAL,MAUS TRATOS,OUTROS,TENTATIVA DE HOMICÍDIO,TOTAL,%,,UF,CÁRCERE PRIVADO,GENOCÍDIO,HOMICÍDIO,LESÃO CORPORAL,MAUS TRATOS,OUTROS,SEQUESTRO,TENTATIVA DE HOMICÍDIO,TOTAL,%,,UF,AUTOAGRESSÃO,CÁRCERE PRIVADO,GENOCÍDIO,HOMICÍDIO,LESÃO CORPORAL,MAUS TRATOS,OUTROS,SEQUESTRO,TENTATIVA DE HOMICÍDIO,TOTAL,%
,AC,,,,,0,0.00%,,AC,,,,,,,0,0.00%,,AC,,,,,,,,0,0.00%,,AC,,,,,,,,,0,0.00%,,AC,,,,,,,,,,0,0.00%
,AL,,,,,0,0.00%,,AL,,,1,1,1,,3,3.85%,,AL,,,,,,,,0,0.00%,,AL,,,,,,,,,0,0.00%,,AL,,,,,1,,,,,1,4.55%
,AM,,,,,0,0.00%,,AM,,,,2,,,2,2.56%,,AM,,,,2,2,,1,5,7.04%,,AM,,,,,,,,,0,0.00%,,AM,,,,,,,,,,0,0.00%
,AP,,,,,0,0.00%,,AP,,,,,,,0,0.00%,,AP,,,,,,,,0,0.00%,,AP,,,,,,,,,0,0.00%,,AP,,,,,,,,,,0,0.00%
,BA,1,1,,,2,7.14%,,BA,,,2,1,,,3,3.85%,,BA,,1,2,4,4,,,11,15.49%,,BA,,,1,1,3,,1,,6,20.69%,,BA,,,,,1,2,,,,3,13.64%
,CE,2,1,,,3,10.71%,,CE,,,1,,,,1,1.28%,,CE,,,,2,2,,,4,5.63%,,CE,,,,1,1,,,,2,6.90%,,CE,,,,,,,,,,0,0.00%
,DF,2,1,,,3,10.71%,,DF,,,2,1,,,3,3.85%,,DF,,,,,,,,0,0.00%,,DF,,,,,,,,,0,0.00%,,DF,,,,,1,1,,,,2,9.09%
,ES,2,,,,2,7.14%,,ES,,,3,1,,,4,5.13%,,ES,,,,,,,1,1,1.41%,,ES,,,,1,,,1,,2,6.90%,,ES,,,,,,,,,,0,0.00%
